date,open,high,low,close,volume
2024-02-05,44.28,44.28,37.6,39.44,2845291.0
2024-02-06,41.41,42.18,37.01,41.21,3573356.0
2024-02-07,41.4,43.44,38.77,40.0,4642445.0
2024-02-08,39.95,46.26,39.05,45.62,4015785.0
2024-02-19,47.15,49.0,45.6,48.79,4632161.0
2024-02-20,48.87,48.88,44.91,47.42,4256465.0
2024-02-21,46.5,48.88,45.89,47.2,3515548.0
2024-02-22,47.54,49.88,47.21,49.39,3172906.0
2024-02-23,49.8,51.17,48.8,50.94,2958297.0
2024-02-26,50.84,52.89,49.79,51.46,2599049.0
2024-02-27,50.71,53.79,49.81,53.79,3309479.0
2024-02-28,52.97,55.14,47.58,47.6,4497919.0
2024-02-29,47.06,50.3,46.64,49.65,3092838.0
2024-03-01,50.97,53.96,49.64,53.5,4453541.0
2024-03-04,56.04,60.0,54.5,56.18,6664011.0
2024-03-05,58.53,64.0,58.0,60.23,9970140.0
2024-03-06,60.0,60.11,54.39,58.6,7904816.0
2024-03-07,58.0,62.2,57.61,59.02,5946862.0
2024-03-08,59.2,60.79,57.05,58.58,3334289.0
2024-03-11,58.45,62.9,57.0,62.8,4608724.0
2024-03-12,62.89,64.0,60.0,61.21,3274896.0
2024-03-13,61.0,67.3,60.42,66.22,4777411.0
2024-03-14,65.0,65.13,60.68,63.4,4507517.0
2024-03-15,62.22,63.11,60.97,62.46,2795996.0
2024-03-18,62.43,66.04,61.99,64.4,2677986.0
2024-03-19,64.4,68.37,64.4,65.15,3339050.0
2024-03-20,66.1,76.5,66.0,75.8,6360262.0
2024-03-21,80.88,89.51,78.0,81.05,9509793.0
2024-03-22,81.86,90.7,76.35,84.83,7067635.0
2024-03-25,84.68,84.68,72.1,72.1,5786722.0
2024-03-26,72.0,74.5,67.67,68.6,4587345.0
2024-03-27,68.86,69.28,64.47,64.47,3537877.0
2024-03-28,63.19,68.74,62.5,67.39,4037844.0
2024-03-29,67.0,69.49,65.16,67.57,2662069.0
2024-04-01,67.97,69.97,64.08,69.7,4074588.0
2024-04-02,68.0,68.88,65.24,66.34,2829716.0
2024-04-03,65.44,66.01,62.01,62.45,2761947.0
2024-04-08,61.5,61.54,58.91,59.25,2273224.0
2024-04-09,59.27,61.43,59.02,61.2,2077875.0
2024-04-10,61.7,61.7,56.9,58.64,2318065.0
2024-04-11,58.3,61.54,58.19,59.84,1988853.0
2024-04-12,59.58,61.4,59.0,60.29,1414925.0
2024-04-15,59.06,59.22,50.11,51.49,5269798.0
2024-04-16,51.12,51.47,47.21,49.12,3563870.0
2024-04-17,51.0,53.38,49.6,53.21,3080637.0
2024-04-18,52.98,53.02,50.48,51.3,1508874.0
2024-04-19,51.7,51.7,49.1,49.45,1607184.0
2024-04-22,47.75,49.94,46.8,49.11,1816078.0
2024-04-23,48.3,51.26,48.3,50.36,1565457.0
2024-04-24,50.5,52.97,50.0,52.76,1702924.0
2024-04-25,53.0,53.2,51.67,51.98,1170085.0
2024-04-26,51.73,55.99,51.73,54.53,2079899.0
2024-04-29,56.02,62.5,56.02,61.32,3430561.0
2024-04-30,60.6,62.16,59.67,60.46,1774762.0
2024-05-06,61.2,63.47,60.61,60.92,2272193.0
2024-05-07,61.0,63.34,60.0,61.34,1703543.0
2024-05-08,61.34,61.4,58.38,58.84,1814176.0
2024-05-09,58.2,59.25,58.03,58.44,1305596.0
2024-05-10,60.0,62.5,58.25,58.51,1846212.0
2024-05-13,58.0,58.4,55.42,56.6,1927230.0
2024-05-14,57.2,58.0,55.5,56.38,1506043.0
2024-05-15,55.95,56.2,54.09,54.21,1203876.0
2024-05-16,55.0,55.97,54.55,54.88,1299285.0
2024-05-17,54.7,55.67,54.1,54.65,1495947.0
2024-05-20,54.67,56.98,53.68,55.45,1960525.0
2024-05-21,55.55,56.15,54.6,54.98,1004496.0
2024-05-22,55.01,56.6,54.43,56.33,1151032.0
2024-05-23,56.33,56.43,53.56,54.12,1629741.0
2024-05-24,54.1,54.33,51.86,52.01,1345884.0
2024-05-27,52.6,52.98,50.91,52.3,1287479.0
2024-05-28,52.75,52.75,50.7,50.95,1119102.0
2024-05-29,51.0,52.19,50.75,51.2,816467.0
2024-05-30,51.01,51.57,50.01,51.1,964863.0
2024-05-31,51.4,52.06,50.62,50.93,1321506.0
2024-06-03,50.7,51.67,50.13,50.6,1178898.0
2024-06-04,50.42,50.42,47.68,48.03,2697145.0
2024-06-05,48.19,49.91,47.8,47.86,2560390.0
2024-06-06,48.03,48.75,45.03,45.55,1942046.0
2024-06-07,46.1,46.99,45.06,45.71,1622054.0
2024-06-11,45.31,46.9,44.29,46.79,1592480.0
2024-06-12,46.88,48.76,46.68,48.2,1295440.0
2024-06-13,48.2,50.27,47.61,49.35,1816202.0
2024-06-14,51.0,51.63,49.01,50.74,2489822.0
2024-06-17,49.0,50.19,48.76,49.96,1995500.0
2024-06-18,49.99,50.97,49.39,49.69,1838180.0
2024-06-19,49.58,49.89,47.91,48.27,1227898.0
2024-06-20,48.28,49.7,47.55,47.59,1274217.0
2024-06-21,46.86,48.48,46.09,48.21,1592203.0
2024-06-24,47.5,48.31,45.12,45.41,2127423.0
2024-06-25,45.99,46.17,43.66,44.15,1286564.0
2024-06-26,44.17,48.46,43.55,48.12,2133610.0
2024-06-27,47.59,48.88,47.1,47.2,1672429.0
2024-06-28,47.1,47.77,45.57,45.81,1491158.0
2024-07-01,45.1,45.9,42.86,43.75,2027448.0
2024-07-02,44.04,46.0,44.01,44.25,1674149.0
2024-07-03,44.25,44.28,42.96,43.5,1000249.0
2024-07-04,43.76,43.86,41.52,41.54,1345769.0
2024-07-05,41.51,42.14,40.71,41.56,1081152.0
2024-07-08,41.05,41.57,39.61,39.85,1276728.0
2024-07-09,39.67,41.0,38.83,40.74,1642731.0
2024-07-10,40.51,41.8,40.01,41.1,1052964.0
2024-07-11,41.98,42.69,41.0,42.4,1111342.0
2024-07-12,42.1,42.98,41.2,41.78,1062839.0
2024-07-15,41.6,41.65,40.31,40.46,930652.0
2024-07-16,40.5,41.09,39.66,40.86,1101513.0
2024-07-17,40.97,41.61,39.78,39.9,956224.0
2024-07-18,39.59,39.78,38.19,39.19,1015565.0
2024-07-19,39.68,41.08,38.76,40.47,1305035.0
2024-07-22,41.5,41.88,40.69,41.39,1437086.0
2024-07-23,41.1,41.91,39.17,39.87,919784.0
2024-07-24,39.48,39.85,38.63,38.95,1294259.0
2024-07-25,38.57,39.57,38.24,38.98,966358.0
2024-07-26,38.9,39.78,38.81,39.51,745713.0
2024-07-29,39.7,39.7,38.8,38.86,774837.0
2024-07-30,38.88,40.06,38.5,39.4,961638.0
2024-07-31,39.14,42.49,39.11,42.1,1464678.0
2024-08-01,42.0,43.47,41.78,42.5,1928464.0
2024-08-02,41.99,42.78,40.88,40.99,1077572.0
2024-08-05,40.31,41.91,39.11,39.48,1591019.0
2024-08-06,39.99,40.59,39.59,40.38,789202.0
2024-08-07,40.58,42.8,40.5,41.1,1979290.0
2024-08-08,41.0,41.4,39.3,40.6,1319526.0
2024-08-09,40.99,41.13,39.76,39.83,1064363.0
2024-08-12,39.66,39.72,38.57,38.95,773740.0
2024-08-13,38.98,39.23,38.4,39.0,737586.0
2024-08-14,38.82,39.22,38.46,38.85,639180.0
2024-08-15,38.54,40.68,38.39,40.05,1333986.0
2024-08-16,40.05,41.12,39.72,40.03,832618.0
2024-08-19,40.04,41.63,39.69,40.55,1241192.0
2024-08-20,40.54,40.8,39.7,39.8,942836.0
2024-08-21,39.83,41.05,39.51,39.91,765887.0
2024-08-22,39.91,41.41,39.01,39.16,1043243.0
2024-08-23,39.16,39.64,38.45,39.37,675458.0
2024-08-26,39.16,40.16,38.23,38.65,971378.0
2024-08-27,38.65,39.4,37.92,38.54,838264.0
2024-08-28,38.24,39.45,37.74,38.73,736784.0
2024-08-29,38.4,40.18,38.19,40.08,979118.0
2024-08-30,45.2,45.43,43.05,43.73,4102498.0
2024-09-02,44.3,45.26,43.73,44.54,2892494.0
2024-09-03,44.08,45.05,42.64,44.18,1972488.0
2024-09-04,43.7,46.36,43.6,46.15,2669833.0
2024-09-05,46.57,50.55,46.57,48.88,3705079.0
2024-09-06,48.97,49.6,47.44,48.3,2098823.0
2024-09-09,48.01,48.37,47.2,47.88,1713463.0
2024-09-10,47.88,50.44,46.8,50.2,2121632.0
2024-09-11,49.5,51.2,49.43,50.49,1849148.0
2024-09-12,50.49,51.23,49.86,50.18,1577329.0
2024-09-13,50.18,50.45,49.6,49.73,1129688.0
2024-09-18,50.0,50.25,48.2,48.94,1378221.0
2024-09-19,48.94,50.35,47.88,49.71,1750304.0
2024-09-20,49.11,49.87,48.8,49.18,1325837.0
2024-09-23,49.18,51.36,48.86,50.12,1540713.0
2024-09-24,49.7,51.4,48.9,50.74,1666315.0
2024-09-25,50.96,56.6,50.32,55.0,3217728.0
2024-09-26,54.0,54.0,51.55,53.04,3983895.0
2024-09-27,53.78,56.0,53.41,55.8,1616974.0
2024-09-30,57.2,66.86,57.2,66.84,5527496.0
2024-10-08,79.39,80.21,69.0,80.21,7163568.0
2024-10-09,75.0,77.4,69.66,70.0,6157681.0
2024-10-10,72.26,73.0,67.18,67.22,3760565.0
2024-10-11,66.86,67.83,60.89,62.96,3553400.0
2024-10-14,62.0,68.15,61.5,68.1,3851834.0
2024-10-15,68.41,72.87,66.2,67.2,3942763.0
2024-10-16,65.02,68.92,64.3,66.98,2020963.0
2024-10-17,67.1,73.94,67.1,71.07,4108252.0
2024-10-18,70.1,80.0,69.21,76.71,4303966.0
2024-10-21,78.37,82.65,75.56,78.66,4052658.0
2024-10-22,78.33,78.33,73.58,76.2,3529820.0
2024-10-23,75.18,80.3,74.12,76.16,3361612.0
2024-10-24,75.01,75.66,72.5,73.6,2464769.0
2024-10-25,73.08,74.48,69.89,71.91,3018623.0
2024-10-28,72.45,74.75,71.05,73.81,2672602.0
2024-10-29,73.81,76.66,72.0,72.87,2680311.0
2024-10-30,72.0,72.87,69.5,71.21,2250635.0
2024-10-31,71.49,73.0,69.7,70.42,2607216.0
2024-11-01,70.1,70.84,63.41,64.26,3681280.0
2024-11-04,63.3,64.88,62.55,64.23,2159566.0
2024-11-05,64.32,68.4,63.82,68.09,2300301.0
2024-11-06,68.1,69.85,64.06,65.61,3398430.0
2024-11-07,64.51,66.98,64.27,66.98,3188657.0
2024-11-08,67.99,71.68,67.6,69.08,3825054.0
2024-11-11,68.76,76.57,68.5,74.02,4211701.0
2024-11-12,75.0,77.35,73.01,74.45,5113130.0
2024-11-13,74.26,89.34,72.6,86.68,7844965.0
2024-11-14,85.51,94.05,83.75,85.8,7883530.0
2024-11-15,83.84,95.0,82.38,82.6,7396702.0
2024-11-18,84.49,84.49,71.68,73.5,7084685.0
2024-11-19,72.05,74.5,69.23,73.42,4182863.0
2024-11-20,73.42,79.65,73.12,76.39,5189800.0
2024-11-21,76.6,86.99,75.05,83.41,6261400.0
2024-11-22,80.74,87.4,78.69,79.14,5465993.0
2024-11-25,80.0,80.9,71.5,74.89,5408922.0
2024-11-26,74.01,76.37,71.49,71.93,3350899.0
2024-11-27,71.04,75.75,69.1,75.29,3660263.0
2024-11-28,75.0,76.77,71.83,72.38,2855036.0
2024-11-29,72.0,76.66,71.03,74.85,2742328.0
2024-12-02,75.0,77.33,73.98,76.7,2863768.0
2024-12-03,76.7,78.5,74.4,75.49,2464715.0
2024-12-04,76.5,76.81,72.02,72.55,2535533.0
2024-12-05,72.48,82.1,72.48,79.25,5414022.0
2024-12-06,80.58,85.2,76.3,82.3,6322298.0
2024-12-09,83.39,84.47,78.9,79.97,4050504.0
2024-12-10,83.5,88.88,79.52,85.68,6339034.0
2024-12-11,84.64,86.12,81.93,85.76,3651937.0
2024-12-12,84.95,86.28,81.5,83.25,3614163.0
2024-12-13,82.5,84.0,78.1,78.15,3014333.0
2024-12-16,77.46,78.99,75.61,77.28,1923035.0
2024-12-17,76.4,77.7,72.2,72.44,2922984.0
2024-12-18,72.63,75.5,70.0,73.5,2259818.0
2024-12-19,72.93,74.84,71.02,74.2,1935648.0
2024-12-20,73.67,76.58,72.72,75.54,1854835.0
2024-12-23,75.55,75.55,70.6,70.98,1878225.0
2024-12-24,71.17,72.36,68.02,69.7,2311039.0
2024-12-25,69.3,69.81,65.77,69.39,2776274.0
2024-12-26,69.0,71.29,68.49,70.43,1890277.0
2024-12-27,70.35,71.37,68.7,68.98,1746279.0
2024-12-30,69.5,69.87,66.55,69.43,1550785.0
2024-12-31,69.78,69.81,66.38,67.16,1489545.0
2025-01-02,66.95,67.0,62.5,63.3,1833721.0
2025-01-03,64.0,64.0,59.22,59.4,2368690.0
2025-01-06,59.0,60.43,57.51,59.53,1538852.0
2025-01-07,59.7,61.68,59.56,61.4,1402586.0
2025-01-08,61.01,65.58,61.01,64.48,2870151.0
2025-01-09,63.86,65.58,63.36,63.85,1391547.0
2025-01-10,63.72,65.56,62.71,62.71,1203891.0
2025-01-13,61.8,65.38,60.67,65.3,2271631.0
2025-01-14,65.38,69.78,65.38,69.5,2884994.0
2025-01-15,69.15,70.5,68.15,70.01,1853034.0
2025-01-16,70.05,70.92,67.63,68.18,1636692.0
2025-01-17,67.98,69.45,67.37,68.81,1106722.0
2025-01-20,69.79,69.99,67.01,67.5,1181245.0
2025-01-21,68.0,73.88,67.51,73.56,3309934.0
2025-01-22,72.68,73.58,70.54,70.71,2470912.0
2025-01-23,71.67,75.4,71.67,72.3,2430565.0
2025-01-24,73.4,79.5,72.21,78.84,4203859.0
2025-01-27,79.41,81.0,71.15,71.8,4500687.0
2025-02-05,76.88,82.56,75.1,80.8,6215518.0
2025-02-06,78.3,81.08,77.2,79.99,5633615.0
2025-02-07,79.01,80.4,75.38,78.18,5808973.0
2025-02-10,78.0,80.09,76.66,79.47,6038374.0
2025-02-11,78.7,79.76,76.0,77.9,4584455.0
2025-02-12,77.1,80.8,76.81,79.73,4432818.0
2025-02-13,79.79,84.8,78.61,81.69,5822362.0
2025-02-14,80.58,81.6,77.3,81.15,4569604.0
2025-02-17,81.5,83.43,78.18,79.52,4230722.0
2025-02-18,79.0,81.88,74.0,74.73,4478587.0
2025-02-19,79.99,80.0,76.5,77.73,4131054.0
2025-02-20,76.41,77.2,73.8,74.96,4586970.0
2025-02-21,74.23,77.98,73.71,77.83,3889836.0
2025-02-24,77.85,78.37,75.0,76.07,3318996.0
2025-02-25,75.0,78.45,74.37,76.26,3191548.0
2025-02-26,76.66,76.66,74.54,75.45,2530263.0
2025-02-27,75.2,76.2,70.45,71.81,3741112.0
2025-02-28,71.33,71.79,66.6,66.75,2848890.0
2025-03-03,69.19,70.99,65.6,67.73,2514744.0
2025-03-04,67.0,69.15,66.6,68.85,1726714.0
2025-03-05,69.0,69.39,67.1,68.31,1865098.0
2025-03-06,71.0,76.07,71.0,73.62,6331859.0
2025-03-07,73.0,77.36,72.34,74.54,5434056.0
2025-03-10,73.68,73.86,71.45,72.29,3339123.0
2025-03-11,70.9,71.8,70.02,70.98,2010718.0
2025-03-12,71.39,71.71,69.5,69.64,2660245.0
2025-03-13,70.0,70.0,67.0,67.72,1934782.0
2025-03-14,67.5,69.39,66.8,68.83,1679988.0
2025-03-17,69.0,69.79,68.2,68.87,1285504.0
2025-03-18,69.93,70.1,68.6,68.91,1326708.0
