date,open,high,low,close,volume
2024-12-12,85.0,86.9,69.0,71.56,30180692.0
2024-12-13,69.86,78.33,68.89,75.0,21187977.0
2024-12-16,73.15,74.98,67.3,68.18,14259109.0
2024-12-17,67.3,72.45,66.4,70.2,11824774.0
2024-12-18,69.38,75.5,67.5,71.3,12664605.0
2024-12-19,68.31,77.77,68.31,75.03,14358948.0
2024-12-20,74.01,79.9,72.8,75.4,14769824.0
2024-12-23,74.11,76.39,70.11,70.17,10903069.0
2024-12-24,71.4,84.2,69.48,84.2,16224474.0
2024-12-25,82.82,88.0,80.08,81.2,14859022.0
2024-12-26,80.6,84.2,79.51,82.39,9482651.0
2024-12-27,81.57,86.94,79.46,79.5,10165214.0
2024-12-30,78.23,80.49,77.05,77.88,5956819.0
2024-12-31,78.02,78.5,74.7,76.88,6764353.0
2025-01-02,76.4,79.18,75.77,77.37,6554079.0
2025-01-03,78.2,81.68,77.0,77.37,6566329.0
2025-01-06,77.22,78.47,73.56,75.6,5291776.0
2025-01-07,75.38,81.7,75.38,81.35,7974361.0
2025-01-08,80.3,86.94,79.38,85.5,8809133.0
2025-01-09,84.38,86.33,83.7,84.6,6446579.0
2025-01-10,83.9,87.56,81.22,81.29,7970387.0
2025-01-13,79.0,80.49,76.76,78.43,6087660.0
2025-01-14,79.0,82.0,78.29,81.79,6298945.0
2025-01-15,81.01,81.59,76.8,77.0,6691293.0
2025-01-16,77.53,79.9,76.9,77.7,4670955.0
2025-01-17,76.49,83.24,76.11,80.4,6861227.0
2025-01-20,80.36,81.0,78.1,78.6,4973685.0
2025-01-21,79.3,81.8,78.24,80.04,4691781.0
2025-01-22,79.23,79.35,77.31,77.31,3705596.0
2025-01-23,78.4,79.32,74.8,74.83,5687501.0
2025-01-24,74.6,75.69,73.75,75.48,4190864.0
2025-01-27,75.06,76.14,71.0,72.0,4075344.0
2025-02-05,73.5,73.8,72.15,72.47,3176849.0
2025-02-06,72.2,75.96,71.21,75.42,5419011.0
2025-02-07,75.0,75.4,73.25,74.1,5531023.0
2025-02-10,74.28,75.97,72.91,75.24,4669489.0
2025-02-11,74.5,74.67,72.72,73.35,4409049.0
2025-02-12,73.21,75.57,73.02,74.98,4562780.0
2025-02-13,74.25,74.45,71.65,71.65,4926945.0
2025-02-14,71.65,72.95,71.38,72.41,2684000.0
2025-02-17,72.0,75.42,71.88,74.15,4884128.0
2025-02-18,74.03,75.28,71.81,72.2,3780310.0
2025-02-19,71.5,74.8,71.5,74.08,4293873.0
2025-02-20,73.6,74.11,72.36,73.7,3185991.0
2025-02-21,75.73,78.0,74.14,76.8,6831728.0
2025-02-24,77.5,78.99,76.6,77.9,5681958.0
2025-02-25,76.9,79.0,76.6,77.39,4528996.0
2025-02-26,78.2,78.77,75.88,76.69,4914598.0
2025-02-27,76.24,77.14,74.56,76.0,4165749.0
2025-02-28,75.5,75.99,72.2,72.3,3729654.0
2025-03-03,72.79,73.99,71.66,73.14,2642203.0
2025-03-04,72.21,74.44,71.9,73.82,2820872.0
2025-03-05,73.55,74.3,72.31,73.39,2604254.0
2025-03-06,73.99,78.73,73.98,77.43,7037399.0
2025-03-07,76.36,77.2,74.45,75.3,4129483.0
2025-03-10,75.0,75.4,73.79,74.77,2397706.0
2025-03-11,73.73,74.7,73.39,74.57,2221746.0
2025-03-12,75.05,75.24,73.8,73.83,2427081.0
2025-03-13,73.55,73.79,71.7,72.42,2876174.0
2025-03-14,72.18,73.77,72.18,73.4,2053464.0
2025-03-17,73.31,76.93,73.1,74.77,3432728.0
2025-03-18,75.0,76.76,74.68,75.49,2935722.0
2025-03-19,75.47,75.88,73.82,74.0,2051397.0
2025-03-20,74.05,74.79,72.73,72.76,1924483.0
2025-03-21,72.41,73.28,72.02,72.5,2245431.0
2025-03-24,72.4,73.93,72.05,73.92,2135905.0
2025-03-25,73.8,74.68,72.51,72.94,1664919.0
2025-03-26,72.98,73.56,72.53,72.6,1336892.0
2025-03-27,72.38,75.18,71.8,74.1,2998707.0
2025-03-28,75.6,77.78,73.2,74.8,4974224.0
2025-03-31,74.0,75.6,72.29,75.08,3484001.0
2025-04-01,74.8,76.6,73.8,76.18,3569481.0
2025-04-02,75.55,76.38,73.9,74.25,2627626.0
2025-04-03,73.08,75.75,73.07,74.25,2127714.0
2025-04-07,71.46,73.1,60.3,62.0,4843212.0
2025-04-08,64.5,65.78,61.99,63.7,3231104.0
2025-04-09,62.16,65.68,59.1,64.83,4399867.0
2025-04-10,65.65,67.66,64.9,64.94,3875064.0
2025-04-11,64.21,68.69,64.2,66.93,4188627.0
2025-04-14,67.58,67.95,66.26,66.78,2550765.0
2025-04-15,66.78,66.79,64.9,65.4,1970537.0
2025-04-16,65.09,65.8,64.25,65.02,1659932.0
2025-04-17,64.68,65.78,64.55,64.58,1377684.0
2025-04-18,64.31,64.8,63.36,63.91,1224049.0
2025-04-21,63.91,64.68,63.66,64.48,1374347.0
2025-04-22,64.2,65.46,63.78,64.62,2540156.0
2025-04-23,65.0,65.08,64.25,64.5,1664086.0
2025-04-24,64.6,64.8,62.62,62.66,1877701.0
2025-04-25,62.66,63.69,62.28,63.05,1214748.0
2025-04-28,62.7,63.31,61.43,61.46,1626084.0
2025-04-29,60.22,60.3,58.52,59.19,2745003.0
2025-04-30,58.87,59.92,58.8,59.47,1556962.0
2025-05-06,59.85,61.55,59.85,61.55,2021915.0
2025-05-07,62.16,62.85,60.92,61.51,2020520.0
2025-05-08,61.5,62.09,61.02,61.9,1109521.0
2025-05-09,61.89,61.89,60.27,60.82,1426631.0
2025-05-12,61.2,62.0,61.08,61.77,1380514.0
2025-05-13,62.13,62.66,61.0,61.1,1577632.0
2025-05-14,61.3,61.49,60.35,60.5,1443788.0
2025-05-15,60.22,60.4,58.73,58.74,1693569.0
2025-05-16,58.55,60.77,58.48,59.72,1838149.0
2025-05-19,59.77,59.96,58.86,59.28,986783.0
2025-05-20,59.1,59.58,58.72,59.35,1037192.0
2025-05-21,59.36,59.5,57.61,58.05,1888598.0
2025-05-22,57.78,58.63,56.49,56.55,1978157.0
2025-05-23,56.5,57.28,55.93,56.18,1493231.0
2025-05-26,56.38,57.21,56.06,57.15,1096029.0
2025-05-27,56.84,57.08,56.26,56.28,933234.0
2025-05-28,56.38,56.48,54.54,54.96,1623350.0
2025-05-29,54.8,56.68,54.62,56.67,1720034.0
2025-05-30,56.3,56.3,55.19,55.24,1163562.0
2025-06-03,54.79,55.75,54.79,55.5,741976.0
2025-06-04,55.5,56.34,55.45,56.01,995564.0
2025-06-05,55.78,56.83,55.78,56.77,1284691.0
2025-06-06,56.5,56.77,55.64,56.01,1296340.0
2025-06-09,55.95,58.8,55.63,58.55,2992735.0
2025-06-10,58.54,58.55,56.74,57.2,1605240.0
2025-06-11,57.49,57.79,57.0,57.2,1051944.0
2025-06-12,56.0,57.0,55.3,56.41,2623852.0
2025-06-13,56.01,56.52,55.26,55.55,1858017.0
2025-06-16,55.38,56.13,55.23,55.59,1169966.0
2025-06-17,55.59,57.54,55.45,57.52,2539574.0
2025-06-18,57.09,59.95,56.77,59.19,3766508.0
2025-06-19,59.0,60.46,58.58,59.14,2846491.0
2025-06-20,59.14,60.23,58.52,59.02,1700795.0
2025-06-23,58.41,60.23,58.41,59.81,3250518.0
2025-06-24,59.87,60.2,59.58,60.01,2396692.0
