date,open,high,low,close,volume
2024-02-05,15.34,15.34,13.72,13.82,5460904.0
2024-02-06,13.3,14.85,12.4,14.52,5414531.0
2024-02-07,14.44,15.05,13.75,14.15,5137007.0
2024-02-08,14.19,15.4,14.19,15.3,4999818.0
2024-02-19,15.52,16.1,15.26,15.77,5033603.0
2024-02-20,15.56,15.97,15.38,15.75,3365032.0
2024-02-21,15.52,16.28,15.46,15.8,4543763.0
2024-02-22,15.75,16.38,15.68,16.38,4235994.0
2024-02-23,16.42,17.1,16.21,16.98,4538494.0
2024-02-26,18.05,19.78,18.01,18.39,10903804.0
2024-02-27,18.55,19.12,18.22,18.77,8267193.0
2024-02-28,18.77,18.99,17.16,17.18,7996439.0
2024-02-29,17.3,18.35,17.3,18.34,6071022.0
2024-03-01,18.49,18.96,18.13,18.68,6198483.0
2024-03-04,18.6,18.67,17.93,18.4,5239516.0
2024-03-05,18.24,18.28,17.6,17.76,4602279.0
2024-03-06,17.62,18.98,17.62,18.55,7514499.0
2024-03-07,18.9,19.59,18.21,18.49,7192406.0
2024-03-08,18.3,18.97,17.93,18.87,6193025.0
2024-03-11,18.9,18.94,18.37,18.89,4921012.0
2024-03-12,19.12,19.58,19.0,19.15,6151684.0
2024-03-13,19.3,19.3,18.8,19.06,4312035.0
2024-03-14,19.18,19.56,18.63,19.02,4096577.0
2024-03-15,18.97,19.86,18.5,19.74,6918334.0
2024-03-18,19.68,20.14,19.4,19.95,6407839.0
2024-03-19,19.81,20.01,19.41,19.43,4339631.0
2024-03-20,19.41,19.72,19.3,19.5,2795307.0
2024-03-21,19.49,19.62,19.14,19.4,3598685.0
2024-03-22,19.42,19.43,18.81,19.09,3071141.0
2024-03-25,18.99,19.05,18.17,18.19,3291909.0
2024-03-26,18.2,18.48,17.78,18.22,3097568.0
2024-03-27,18.23,18.23,17.54,17.54,2788644.0
2024-03-28,17.54,18.53,17.54,18.13,3225453.0
2024-03-29,18.08,18.51,18.01,18.51,2227036.0
2024-04-01,18.74,19.45,18.74,19.24,3491656.0
2024-04-02,19.24,19.38,18.91,19.09,2324367.0
2024-04-03,19.09,19.09,18.38,18.81,1992943.0
2024-04-08,18.4,18.82,18.15,18.2,2184269.0
2024-04-09,18.71,19.03,18.41,18.67,2386416.0
2024-04-10,18.9,19.26,18.18,18.28,2510326.0
2024-04-11,18.21,18.65,17.97,18.12,1736158.0
2024-04-12,18.15,18.46,17.96,18.11,1733081.0
2024-04-15,18.08,18.26,17.35,17.54,3183157.0
2024-04-16,17.62,17.75,16.52,16.56,3323844.0
2024-04-17,16.88,17.96,16.82,17.91,2824265.0
2024-04-18,17.85,18.86,17.5,18.23,3172149.0
2024-04-19,18.21,18.45,17.73,17.89,2178332.0
2024-04-22,17.71,18.59,17.38,18.21,2666757.0
2024-04-23,18.28,18.87,18.22,18.68,3833615.0
2024-04-24,18.69,18.95,18.58,18.77,2832831.0
2024-04-25,18.79,18.79,18.41,18.43,2058023.0
2024-04-26,18.4,19.22,18.3,19.09,3744035.0
2024-04-29,19.51,20.05,19.4,19.8,4457567.0
2024-04-30,19.41,19.76,18.74,19.09,5041587.0
2024-05-06,19.29,19.49,19.06,19.28,3333146.0
2024-05-07,19.27,19.27,18.91,19.18,2493578.0
2024-05-08,19.17,19.17,18.73,18.86,1904329.0
2024-05-09,18.85,19.55,18.85,19.49,3642301.0
2024-05-10,19.51,20.08,19.38,19.6,4542239.0
2024-05-13,19.5,21.0,19.5,20.61,7470683.0
2024-05-14,20.71,20.84,20.22,20.34,3588201.0
2024-05-15,20.31,21.24,20.15,20.88,6881911.0
2024-05-16,20.62,20.89,19.72,19.88,5273027.0
2024-05-17,19.74,20.18,19.5,19.88,3568747.0
2024-05-20,19.62,19.87,19.41,19.51,4208936.0
2024-05-21,19.58,19.62,19.1,19.46,2170580.0
2024-05-22,19.34,19.59,19.1,19.31,1957313.0
2024-05-23,19.5,19.74,19.1,19.32,3112046.0
2024-05-24,19.76,20.12,19.2,19.5,4157539.0
2024-05-27,19.43,20.74,19.43,20.64,5344687.0
2024-05-28,20.55,20.74,20.23,20.57,3486267.0
2024-05-29,20.42,21.03,20.15,20.74,4337943.0
2024-05-30,20.8,20.98,20.33,20.45,2953159.0
2024-05-31,20.15,21.63,20.15,20.86,5014117.0
2024-06-03,20.99,21.19,20.5,20.77,3233462.0
2024-06-04,20.42,20.42,19.28,19.72,3382264.0
2024-06-05,19.58,20.18,19.25,20.14,3204357.0
2024-06-06,20.01,20.01,17.16,17.5,8736238.0
2024-06-07,17.77,18.04,17.3,17.72,3675959.0
2024-06-11,17.6,17.98,16.91,17.91,2544373.0
2024-06-12,18.04,18.5,17.85,17.86,2951773.0
2024-06-13,17.81,18.53,17.5,18.27,4105625.0
2024-06-14,18.16,18.22,17.7,17.88,2478782.0
2024-06-17,17.63,18.09,17.57,17.98,2268322.0
2024-06-18,18.03,18.39,17.92,18.25,1811792.0
2024-06-19,18.28,18.44,17.98,18.04,1492110.0
2024-06-20,18.24,18.6,18.05,18.08,2766040.0
2024-06-21,17.88,18.07,17.5,17.85,1477238.0
2024-06-24,17.65,18.09,17.2,17.29,2578918.0
2024-06-25,17.29,17.56,17.16,17.29,1685051.0
2024-06-26,17.3,17.85,17.1,17.85,1688720.0
2024-06-27,17.92,18.09,17.51,17.52,1229510.0
2024-06-28,17.52,17.86,17.4,17.61,1556503.0
2024-07-01,17.65,17.65,17.03,17.41,1664929.0
2024-07-02,17.31,17.49,16.83,16.92,1585221.0
2024-07-03,16.92,17.07,16.21,16.43,1997274.0
2024-07-04,16.5,16.78,15.77,15.8,2285048.0
2024-07-05,15.8,15.86,15.23,15.64,3245042.0
2024-07-08,15.36,15.49,14.92,14.98,2135807.0
2024-07-09,15.01,15.42,14.53,15.41,2982940.0
2024-07-10,15.4,15.65,15.21,15.28,2056691.0
2024-07-11,15.65,16.14,15.52,16.1,2298183.0
2024-07-12,16.01,16.13,15.7,15.71,1678230.0
2024-07-15,15.45,15.65,15.09,15.13,1934595.0
2024-07-16,15.13,15.49,14.86,15.4,1903522.0
2024-07-17,15.33,15.54,15.11,15.26,1726505.0
2024-07-18,15.15,15.34,14.7,15.16,1573651.0
2024-07-19,15.39,15.54,15.01,15.31,1429115.0
2024-07-22,15.43,15.58,15.24,15.44,1627042.0
2024-07-23,15.49,16.1,15.47,15.47,3428382.0
2024-07-24,15.37,15.49,14.95,14.95,2008110.0
2024-07-25,14.8,15.33,14.73,15.19,1746722.0
2024-07-26,15.15,15.72,15.15,15.56,1992049.0
2024-07-29,15.55,15.68,15.31,15.36,1690567.0
2024-07-30,15.4,15.65,15.0,15.38,1831179.0
2024-07-31,15.49,16.42,15.41,16.27,3788277.0
2024-08-01,16.31,16.75,16.26,16.32,3167507.0
2024-08-02,16.16,16.34,15.83,15.9,2018533.0
2024-08-05,15.75,16.18,15.57,15.8,2835920.0
2024-08-06,15.9,16.17,15.75,16.08,1845750.0
2024-08-07,16.12,16.22,15.83,15.84,1372155.0
2024-08-08,15.75,15.82,15.22,15.45,1604997.0
2024-08-09,15.65,15.78,15.51,15.53,950734.0
2024-08-12,15.4,15.47,15.22,15.3,891675.0
2024-08-13,15.31,15.58,15.16,15.46,1075208.0
2024-08-14,15.41,15.46,15.16,15.18,766423.0
2024-08-15,15.1,15.5,15.05,15.38,1392415.0
2024-08-16,15.37,15.68,15.37,15.39,998788.0
2024-08-19,15.59,15.63,15.25,15.32,1168093.0
2024-08-20,15.26,15.3,14.95,15.07,1004006.0
2024-08-21,15.08,15.55,15.03,15.36,1584229.0
2024-08-22,15.36,15.36,14.61,14.66,1721387.0
2024-08-23,14.58,14.73,14.17,14.33,1502499.0
2024-08-26,14.18,14.71,14.18,14.65,1262424.0
2024-08-27,14.62,14.77,14.28,14.39,779454.0
2024-08-28,14.28,14.7,14.28,14.5,901106.0
2024-08-29,14.36,15.05,14.35,14.89,1322771.0
2024-08-30,14.76,15.37,14.76,15.2,2168262.0
2024-09-02,14.76,14.76,13.97,13.97,4121730.0
2024-09-03,13.8,14.16,13.69,13.72,2619239.0
2024-09-04,13.59,13.66,13.32,13.5,2135625.0
2024-09-05,13.5,13.9,13.5,13.74,1448661.0
2024-09-06,13.68,13.79,13.35,13.35,1126727.0
2024-09-09,13.19,13.48,13.12,13.32,1107634.0
2024-09-10,13.25,13.6,13.15,13.53,1084675.0
2024-09-11,13.53,13.66,13.39,13.55,674284.0
2024-09-12,13.52,13.7,13.38,13.42,643530.0
2024-09-13,13.35,13.47,12.78,12.88,1493766.0
2024-09-18,12.98,12.98,12.44,12.72,1463121.0
2024-09-19,12.73,13.08,12.61,12.88,1334916.0
2024-09-20,12.8,12.99,12.68,12.7,1002260.0
2024-09-23,12.7,12.85,12.53,12.67,826786.0
2024-09-24,12.73,13.22,12.58,13.14,2237460.0
2024-09-25,13.24,13.79,13.24,13.4,2415542.0
2024-09-26,13.3,14.44,13.3,14.35,3969355.0
2024-09-27,14.43,15.63,14.4,15.34,3259582.0
2024-09-30,16.03,17.49,15.52,17.3,7610568.0
2024-10-08,20.09,20.66,16.68,19.2,11309529.0
2024-10-09,18.61,18.61,16.8,16.8,7395660.0
2024-10-10,17.21,17.45,16.5,16.91,4481349.0
2024-10-11,16.9,17.48,16.36,16.55,4942479.0
2024-10-14,16.58,16.88,15.9,16.76,4055251.0
2024-10-15,16.51,16.99,16.29,16.29,3262121.0
2024-10-16,16.12,16.29,15.81,15.94,2758264.0
2024-10-17,16.0,16.22,15.79,15.79,2290603.0
2024-10-18,15.88,16.86,15.75,16.52,5470138.0
2024-10-21,16.55,17.12,16.42,16.7,5834338.0
2024-10-22,16.98,17.98,16.55,17.56,8393607.0
2024-10-23,17.66,18.3,17.24,17.55,6615980.0
2024-10-24,17.43,17.66,17.15,17.28,2907734.0
2024-10-25,17.24,17.78,17.24,17.63,3886446.0
2024-10-28,17.61,17.7,17.41,17.66,3189330.0
2024-10-29,17.7,17.92,17.01,17.12,4156090.0
2024-10-30,17.13,17.34,16.65,16.84,2993725.0
2024-10-31,16.45,16.87,15.82,16.85,6014180.0
2024-11-01,16.68,17.89,16.6,16.94,6710498.0
2024-11-04,17.16,19.0,17.16,19.0,10759046.0
2024-11-05,19.0,19.35,18.35,18.95,10637749.0
2024-11-06,19.0,19.69,18.78,19.2,9798730.0
2024-11-07,19.56,19.78,18.69,19.32,8096139.0
2024-11-08,19.53,20.18,19.07,19.34,8914689.0
2024-11-11,19.05,20.3,19.0,20.2,8725454.0
2024-11-12,20.5,20.52,19.31,19.67,7803471.0
2024-11-13,19.35,19.69,19.0,19.56,4288813.0
2024-11-14,19.35,19.65,18.63,18.76,3383182.0
2024-11-15,18.76,18.94,18.29,18.3,2988703.0
2024-11-18,18.33,20.33,18.3,18.88,7539880.0
2024-11-19,18.6,21.99,18.6,21.58,18782169.0
2024-11-20,20.98,23.51,20.96,23.35,19389373.0
2024-11-21,22.86,22.86,21.42,22.2,14567060.0
2024-11-22,21.88,26.59,21.44,23.9,17931657.0
2024-11-25,23.6,26.19,23.6,25.18,14172531.0
2024-11-26,24.07,24.93,21.51,22.15,13912363.0
