date,close
2026-03-06,282.30
2026-03-09,267.39
2026-03-10,277.37
2026-03-11,270.10
2026-03-12,264.27
2026-03-13,281.53
2026-03-16,287.88
2026-03-17,273.28
2026-03-18,297.55
2026-03-19,289.75
2026-03-20,289.65
2026-03-23,265.97
2026-03-24,254.25
2026-03-25,248.82
2026-03-26,227.79
2026-03-27,239.95
2026-03-30,244.60
2026-03-31,238.25
2026-04-01,241.25
2026-04-02,232.96
2026-04-03,230.86
2026-04-07,237.47
2026-04-08,253.58
2026-04-09,257.28
2026-04-10,260.31
2026-04-13,256.85
2026-04-14,293.55
2026-04-15,281.98
2026-04-16,280.50
2026-04-17,289.03
2026-04-20,292.64
2026-04-21,303.20
2026-04-22,344.75
2026-04-23,326.75
2026-04-24,316.25
2026-04-27,342.84
2026-04-28,311.26
2026-04-29,308.45
2026-04-30,304.88
2026-05-06,306.20
2026-05-07,327.18
2026-05-08,350.75
2026-05-11,393.45
2026-05-12,411.65
2026-05-13,404.13
2026-05-14,403.75
2026-05-15,406.93
2026-05-18,406.95
2026-05-19,418.33
2026-05-20,427.25
2026-05-21,381.84
2026-05-22,387.28
2026-05-25,416.25
2026-05-26,381.81
2026-05-27,359.75
2026-05-28,356.35
2026-05-29,367.00
2026-06-01,353.03
2026-06-02,354.00
2026-06-03,363.35
2026-06-04,360.34
2026-06-05,352.65
2026-06-08,336.70
2026-06-09,358.30
2026-06-10,370.92
2026-06-11,388.80
2026-06-12,380.00
2026-06-15,388.20
2026-06-16,383.26
2026-06-17,401.93
2026-06-18,401.93
2026-06-22,381.90
2026-06-23,384.55
2026-06-24,404.00
2026-06-25,400.41
2026-06-26,432.27
2026-06-29,416.00
2026-06-30,430.40
2026-07-01,439.00
2026-07-02,407.00
2026-07-03,360.69
2026-07-06,356.88
2026-07-07,347.23
2026-07-08,364.10
2026-07-09,376.00
2026-07-10,360.00
2026-07-13,360.10
2026-07-14,345.48
2026-07-15,321.00
2026-07-16,303.50
2026-07-17,271.02
2026-07-20,243.00
2026-07-21,263.55
2026-07-22,256.39
2026-07-23,248.07
2026-07-24,249.39
2026-07-27,254.50
2026-07-28,240.94
2026-07-29,230.15
2026-07-30,210.00
2026-07-31,225.51
2026-08-03,211.00
2026-08-04,223.60
2026-08-05,239.21
2026-08-06,247.01
2026-08-07,255.41
2026-08-10,255.85
2026-08-11,254.06
2026-08-12,259.60
2026-08-13,252.56
2026-08-14,256.49
2026-08-17,271.51
2026-08-18,275.18
2026-08-19,251.39
2026-08-20,251.81
2026-08-21,255.01
2026-08-24,255.79
2026-08-25,255.90
2026-08-26,255.92
2026-08-27,291.00
2026-08-28,309.85
2026-08-31,299.70
2026-09-01,295.02
2026-09-02,303.88
2026-09-03,287.32
2026-09-04,268.80
