date,open,high,low,close,vol
20260310,1376.880005,1381.469971,1369.979980,1373.859985,24625.92
20260311,1374.969971,1377.969971,1370.000000,1371.979980,24456.73
20260312,1366.979980,1375.930054,1362.989990,1363.979980,27586.46
20260313,1364.459961,1389.599976,1363.979980,1385.619995,33607.83
20260316,1391.979980,1437.979980,1391.979980,1432.160034,60086.35
20260317,1439.979980,1470.050049,1433.170044,1456.979980,49453.61
20260318,1460.979980,1468.479980,1435.130005,1440.780029,35551.00
20260319,1444.939941,1444.979980,1417.979980,1424.849976,30318.59
20260320,1424.939941,1434.479980,1410.979980,1416.979980,26132.34
20260323,1405.310059,1406.979980,1372.010010,1380.050049,47255.89
20260324,1387.979980,1389.569946,1372.160034,1379.310059,28561.79
20260325,1382.089966,1389.849976,1372.989990,1382.250000,26093.46
20260326,1380.979980,1385.880005,1372.280029,1373.160034,23092.89
20260327,1371.979980,1397.979980,1368.640015,1388.000000,30087.11
20260330,1378.979980,1402.979980,1374.500000,1391.979980,28684.59
20260331,1439.979980,1451.910034,1420.390015,1421.979980,61690.66
20260401,1436.469971,1441.969971,1424.859985,1431.420044,29125.14
20260402,1431.420044,1436.859985,1424.079956,1431.859985,21064.37
20260403,1431.520020,1441.939941,1426.979980,1431.979980,20193.73
20260407,1432.030029,1441.979980,1407.030029,1412.000000,24152.18
20260408,1431.979980,1441.060059,1424.109985,1437.000000,33836.10
20260409,1437.000000,1437.000000,1419.479980,1432.469971,20704.76
20260410,1431.119995,1431.689941,1413.079956,1425.939941,28865.56
20260413,1415.979980,1418.479980,1404.979980,1415.290039,25213.64
20260414,1414.579956,1420.579956,1406.979980,1418.880005,24232.61
20260415,1416.959961,1442.770020,1413.979980,1439.479980,34553.48
20260416,1439.430054,1449.390015,1431.979980,1434.819946,24512.84
20260417,1371.979980,1392.979980,1371.849976,1379.219971,96824.99
20260420,1374.979980,1385.920044,1371.979980,1382.869995,36451.39
20260421,1382.979980,1391.880005,1381.979980,1383.989990,21754.27
20260422,1386.979980,1390.979980,1376.959961,1381.479980,26915.93
20260423,1379.979980,1391.680054,1377.079956,1390.979980,37701.09
20260424,1385.079956,1430.859985,1385.079956,1430.469971,55455.31
20260427,1391.979980,1391.979980,1374.180054,1375.180054,72797.74
20260428,1373.979980,1381.369995,1372.089966,1376.979980,34004.42
20260429,1376.979980,1381.729980,1372.260010,1373.150024,34813.13
20260430,1371.979980,1373.150024,1351.979980,1356.770020,52752.67
20260506,1337.079956,1350.979980,1332.030029,1346.979980,47806.04
20260507,1346.979980,1359.979980,1341.989990,1343.030029,40461.47
20260508,1343.640015,1354.750000,1341.979980,1344.969971,33368.53
20260511,1344.869995,1344.869995,1332.979980,1333.310059,57135.10
20260512,1333.979980,1335.560059,1322.479980,1326.530029,50837.43
20260513,1326.479980,1330.579956,1309.979980,1316.069946,56967.87
20260514,1309.979980,1341.040039,1307.160034,1314.150024,55244.34
20260515,1307.130005,1311.260010,1299.089966,1304.930054,58183.65
20260518,1307.979980,1314.660034,1291.589966,1294.979980,49660.97
20260519,1293.880005,1301.969971,1289.979980,1296.280029,43254.64
20260520,1292.979980,1304.969971,1285.979980,1286.979980,47487.33
20260521,1284.959961,1295.500000,1282.979980,1282.979980,38868.38
20260522,1282.930054,1283.890015,1262.099976,1262.180054,49157.14
20260525,1258.979980,1276.770020,1248.979980,1257.859985,46352.76
20260526,1257.329956,1261.869995,1241.989990,1245.359985,45931.62
20260527,1240.000000,1290.979980,1222.079956,1274.979980,82727.91
20260528,1261.979980,1275.979980,1242.979980,1247.959961,45889.98
20260529,1242.579956,1300.979980,1241.979980,1297.979980,76478.05
20260601,1298.979980,1298.979980,1273.290039,1281.579956,43844.60
20260602,1277.979980,1298.339966,1272.979980,1279.199951,36361.85
20260603,1275.979980,1275.979980,1247.979980,1253.890015,52476.52
20260604,1250.969971,1260.969971,1238.670044,1239.979980,33506.17
20260605,1249.979980,1254.979980,1239.719971,1244.839966,31303.97
20260608,1243.979980,1249.979980,1231.979980,1234.959961,30828.36
20260609,1234.969971,1234.979980,1224.530029,1227.979980,27860.12
20260610,1224.060059,1253.979980,1222.189941,1247.859985,39244.14
20260611,1244.099976,1254.859985,1238.890015,1250.979980,25351.98
20260612,1243.160034,1266.979980,1236.989990,1263.890015,50494.78
20260615,1264.680054,1264.680054,1242.079956,1243.079956,41585.56
20260616,1238.989990,1239.859985,1226.979980,1227.650024,34969.74
20260617,1229.979980,1231.750000,1210.540039,1211.979980,44803.30
20260618,1206.979980,1210.849976,1183.199951,1186.979980,57471.73
20260622,1186.290039,1224.780029,1176.979980,1213.390015,58251.31
20260623,1210.979980,1235.979980,1188.979980,1194.430054,58004.05
20260624,1194.630005,1213.849976,1179.489990,1179.660034,45335.28
20260625,1178.979980,1198.979980,1171.979980,1184.079956,48446.49
20260626,1199.000000,1199.000000,1168.099976,1168.630005,50066.47
20260629,1169.000000,1215.000000,1151.010010,1194.959961,66878.12
20260630,1187.000000,1195.670044,1176.000000,1185.489990,39607.79
20260701,1180.099976,1196.800049,1166.329956,1193.010010,42473.81
20260702,1193.010010,1215.520020,1190.510010,1203.000000,50870.15
20260703,1205.239990,1210.140015,1185.000000,1194.449951,34267.55
20260706,1186.000000,1215.000000,1180.000000,1206.910034,40970.01
20260707,1200.000000,1202.000000,1188.109985,1188.800049,27365.00
20260708,1188.770020,1200.979980,1177.000000,1199.300049,25776.02
20260709,1191.000000,1191.989990,1178.000000,1182.189941,34096.34
20260710,1182.199951,1204.979980,1170.280029,1204.979980,52212.55
20260713,1197.119995,1215.000000,1190.189941,1210.989990,41982.57
20260714,1208.989990,1226.869995,1205.000000,1214.880005,43527.26
20260715,1203.660034,1256.599976,1198.660034,1251.060059,71943.71
20260716,1252.000000,1267.969971,1245.050049,1258.989990,47611.14
20260717,1269.010010,1269.329956,1238.979980,1253.000000,58417.30
20260720,1270.000000,1329.000000,1266.000000,1327.500000,106151.15
20260721,1338.979980,1344.699951,1296.869995,1308.000000,77147.70
20260722,1300.000000,1308.000000,1283.239990,1305.000000,65181.40
20260723,1299.800049,1303.000000,1285.430054,1292.010010,33917.69
20260724,1305.000000,1309.209961,1286.199951,1297.410034,35698.92
20260727,1308.000000,1308.000000,1279.579956,1289.500000,31990.44
20260728,1299.000000,1320.000000,1289.520020,1320.000000,53134.57
20260729,1333.829956,1343.479980,1312.060059,1321.000000,62329.85
20260730,1323.000000,1362.000000,1322.000000,1361.760010,71872.61
20260731,1330.030029,1355.719971,1325.770020,1350.599976,55127.52
20260803,1350.599976,1363.349976,1346.000000,1358.979980,36146.86
