排名,代码,名称,策略,类型,最新价,今日涨幅%,前低支撑,破底最低,破底深度%,收回幅度%,站稳天数,距60日高跌幅%,距年高跌幅%,历史分位%,量比vs5日均,MA5,MA20,止损位,目标位,盈亏比,score,命中策略,命中数,最强分,扫描总数,有效K线数,盈亏比不足,分类,J值,短期趋势线,多空线,趋势强度%,放量倍数,放量距今,近20日回撤%,日均成交额亿
26,300629,新劲刚,破底翻,破底翻,17.94,1.53,16.99,16.0,5.8,5.6,21.0,20.2,47.8,21.0,2.07,17.29,17.44,16.48,22.49,3.12,79.0,破底翻,1,79.0,4919,4583,False,,,,,,,,,
27,688410,山外山,破底翻,破底翻,11.07,2.12,10.22,9.4,8.0,8.3,24.0,30.9,60.9,18.5,3.54,10.93,11.09,9.91,16.01,4.26,78.0,破底翻,1,78.0,4919,4583,False,,,,,,,,,
28,300722,新余国科,破底翻,破底翻,21.5,1.03,20.71,19.38,6.4,3.8,27.0,18.6,54.2,19.5,1.51,21.22,21.57,20.09,26.42,3.49,78.0,破底翻,1,78.0,4919,4583,False,,,,,,,,,
29,300229,拓尔思,破底翻,破底翻,13.29,-0.15,12.74,11.91,6.5,4.3,25.0,21.8,57.1,13.7,2.6,13.23,14.32,12.36,16.99,3.98,78.0,破底翻,1,78.0,4919,4583,False,,,,,,,,,
30,301187,欧圣电气,破底翻,破底翻,14.43,-3.15,13.6,12.8,5.9,6.1,25.0,19.1,70.4,3.5,1.82,14.73,15.28,13.19,17.83,2.74,78.0,破底翻,1,78.0,4919,4583,False,,,,,,,,,
31,001269,欧晶科技,破底翻,破底翻,19.5,2.36,18.66,16.62,10.9,4.5,22.0,37.5,63.7,4.8,1.73,19.15,19.38,18.1,31.22,8.37,78.0,破底翻,1,78.0,4919,4583,False,,,,,,,,,
32,688590,新致软件,破底翻,破底翻,12.1,-5.47,11.73,10.99,6.3,3.2,25.0,27.4,56.3,11.9,2.4,12.5,13.09,11.38,16.67,6.35,78.0,破底翻,1,78.0,4919,4583,False,,,,,,,,,
33,600588,用友网络,破底翻,破底翻,10.25,0.69,9.86,8.75,11.3,4.0,23.0,17.7,48.8,19.2,3.37,10.16,11.17,9.56,12.45,3.19,78.0,破底翻,1,78.0,4919,4583,False,,,,,,,,,
34,603960,克来机电,破底翻,破底翻,15.9,-2.09,15.22,13.56,10.9,4.5,24.0,29.2,64.5,3.2,1.58,15.93,16.12,14.76,22.47,5.76,78.0,破底翻,1,78.0,4919,4583,False,,,,,,,,,
35,688267,中触媒,破底翻,破底翻,19.26,3.55,18.03,15.92,11.7,6.8,25.0,39.3,46.1,11.1,2.73,18.61,18.82,17.49,31.71,7.03,78.0,破底翻,1,78.0,4919,4583,False,,,,,,,,,
36,300759,康龙化成,碗口反弹,,43.78,,,,,,,,18.3,,,,,39.02,53.57,2.06,77.0,碗口反弹,1,77.0,4919,4583,False,回落碗中,-8.9,46.07,39.82,15.69,2.6,18.0,18.3,37.5
37,300404,博济医药,碗口反弹,,13.24,,,,,,,,26.4,,,,,11.7,17.99,3.08,77.0,碗口反弹,1,77.0,4919,4583,False,回落碗中,-17.4,13.73,11.94,14.96,2.62,15.0,26.4,7.89
38,002674,兴业科技,碗口反弹,,24.89,,,,,,,,26.5,,,,,22.76,33.88,4.22,77.0,碗口反弹,1,77.0,4919,4583,False,回落碗中,-1.6,27.37,24.63,11.1,2.81,28.0,21.2,7.18
39,688222,成都先导,碗口反弹,,32.86,,,,,,,,23.5,,,,,30.21,41.78,3.37,77.0,碗口反弹,1,77.0,4919,4583,False,回落碗中,-12.8,35.16,32.71,7.52,2.08,15.0,21.3,8.48
40,688293,奥浦迈,碗口反弹,,55.1,,,,,,,,23.3,,,,,50.74,71.88,3.85,77.0,碗口反弹,1,77.0,4919,4583,False,回落碗中,-9.0,60.34,54.89,9.92,2.58,15.0,23.3,3.26
41,688046,药康生物,碗口反弹,,32.5,,,,,,,,25.2,,,,,29.04,43.47,3.17,77.0,碗口反弹,1,77.0,4919,4583,False,回落碗中,-6.0,34.7,29.63,17.08,2.23,14.0,25.2,6.92
42,002456,欧菲光,破底翻,破底翻,7.61,0.4,7.06,6.75,4.4,7.8,6.0,25.3,59.6,8.5,1.65,7.29,7.34,6.85,10.19,3.39,77.0,破底翻,1,77.0,4919,4583,False,,,,,,,,,
