排名,代码,名称,策略,类型,最新价,今日涨幅%,前低支撑,破底最低,破底深度%,收回幅度%,站稳天数,距60日高跌幅%,距年高跌幅%,历史分位%,量比vs5日均,MA5,MA20,止损位,目标位,盈亏比,score,命中策略,命中数,最强分,扫描总数,有效K线数,盈亏比不足,分类,J值,短期趋势线,多空线,趋势强度%,放量倍数,放量距今,近20日回撤%,日均成交额亿
106,688635,长进光子,破底翻,破底翻,293.88,-6.28,231.3,200.0,13.5,27.1,19.0,54.7,60.8,25.4,0.92,307.1,295.56,224.36,649.43,5.11,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
107,300314,戴维医疗,碗口反弹,,11.86,,,,,,,,31.8,,,,,11.07,16.9,6.38,74.0,碗口反弹,1,74.0,4919,4583,False,回落碗中,-17.0,12.23,11.36,7.71,2.14,15.0,29.8,1.83
108,301110,青木科技,破底翻,破底翻,35.0,1.36,32.98,31.59,4.2,6.1,25.0,16.3,66.9,20.0,2.19,34.44,36.33,31.99,41.84,2.27,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
109,001388,信通电子,破底翻,破底翻,21.39,0.14,20.9,19.45,6.9,2.3,20.0,40.1,69.4,3.5,0.94,21.31,22.33,20.12,35.68,11.25,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
110,301538,骏鼎达,破底翻,破底翻,41.45,0.14,40.2,34.53,14.1,3.1,2.0,55.9,79.2,5.6,1.09,39.46,39.33,38.99,94.0,21.36,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
111,301149,隆华新材,破底翻,破底翻,8.56,0.71,7.78,6.92,11.1,10.0,20.0,30.6,42.3,13.4,1.08,8.24,7.95,7.55,12.34,3.74,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
112,300897,山科智能,破底翻,破底翻,15.9,-3.81,14.67,12.16,17.1,8.4,25.0,28.5,54.6,6.5,0.88,16.61,16.15,14.23,22.24,3.8,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
113,688597,煜邦电力,破底翻,破底翻,6.51,-1.36,6.23,5.76,7.5,4.5,20.0,34.8,48.2,6.1,1.45,6.66,6.79,6.04,9.98,7.38,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
114,301522,上大股份,破底翻,破底翻,23.27,0.0,22.23,21.02,5.4,4.7,25.0,22.2,77.2,4.8,0.7,23.03,23.36,21.56,29.92,3.89,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
115,600843,上工申贝,破底翻,破底翻,7.11,0.85,6.61,6.23,5.7,7.6,25.0,21.7,63.1,18.1,1.04,7.03,7.05,6.41,9.08,2.81,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
116,301525,儒竞科技,破底翻,破底翻,39.39,0.0,39.36,35.97,8.6,0.1,21.0,49.4,67.8,2.4,1.47,38.99,40.53,37.64,77.88,21.99,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
117,600106,重庆路桥,破底翻,破底翻,4.43,1.84,4.27,4.02,5.9,3.7,24.0,17.2,46.2,13.2,1.07,4.34,4.43,4.14,5.35,3.17,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
118,688212,澳华内镜,破底翻,破底翻,28.24,0.18,27.3,25.37,7.1,3.4,22.0,15.9,57.5,5.0,0.85,27.83,28.85,26.48,33.57,3.03,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
119,600158,中体产业,破底翻,破底翻,7.18,1.13,6.61,6.23,5.7,8.6,29.0,29.5,51.8,11.6,1.23,7.05,7.09,6.41,10.18,3.9,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
120,300563,神宇股份,破底翻,破底翻,24.62,-1.76,23.08,21.07,8.7,6.7,20.0,23.8,66.3,15.6,0.65,24.39,23.78,22.39,32.32,3.45,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
121,300565,科信技术,破底翻,破底翻,10.02,-0.3,9.7,8.24,15.1,3.3,7.0,24.7,45.5,11.9,0.82,9.88,9.73,9.41,13.3,5.38,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
122,603721,中广天择,破底翻,破底翻,17.36,-0.63,16.66,14.4,13.6,4.2,21.0,36.2,61.3,5.2,0.77,17.61,18.0,16.16,27.2,8.2,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
123,603178,圣龙股份,破底翻,破底翻,16.23,-1.52,15.37,13.82,10.1,5.6,25.0,15.0,58.4,7.7,0.89,16.41,16.96,14.91,19.1,2.17,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
124,688083,中望软件,破底翻,破底翻,51.89,-0.95,49.79,42.65,14.3,4.2,19.0,27.9,59.1,5.5,1.05,52.22,52.07,48.3,72.0,5.6,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
125,600992,贵绳股份,破底翻,破底翻,9.88,1.33,9.2,8.62,6.3,7.4,37.0,20.5,48.7,5.3,1.06,9.76,9.9,8.92,12.42,2.65,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
126,300818,耐普矿机,破底翻,破底翻,19.28,0.73,18.53,16.23,12.4,4.0,28.0,20.2,67.8,5.0,0.93,18.94,20.05,17.97,24.15,3.72,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
127,300789,唐源电气,破底翻,破底翻,16.49,-8.49,16.29,15.01,7.9,1.2,21.0,22.7,54.9,27.9,2.44,17.62,18.04,15.49,21.34,4.85,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
128,301596,瑞迪智驱,破底翻,破底翻,46.56,-1.0,45.41,38.18,15.9,2.5,20.0,44.4,73.1,2.1,0.97,46.55,50.15,43.58,83.8,12.5,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
129,600481,双良节能,破底翻,破底翻,4.39,1.15,4.26,3.73,12.4,3.1,20.0,16.9,62.0,16.1,0.95,4.31,4.32,4.13,5.28,3.42,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
130,688188,柏楚电子,破底翻,破底翻,99.01,-0.31,98.5,90.3,8.3,0.5,30.0,43.2,71.0,1.8,0.77,98.98,102.8,95.42,174.42,21.01,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
131,301535,浙江华远,破底翻,破底翻,14.53,1.96,13.61,12.17,10.6,6.8,28.0,17.8,54.6,9.2,0.91,14.38,15.3,13.2,17.67,2.36,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
132,605077,华康股份,破底翻,破底翻,11.15,1.18,10.67,10.04,5.9,4.5,24.0,21.4,57.4,6.5,1.24,10.98,11.03,10.35,14.19,3.8,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
133,001277,速达股份,破底翻,破底翻,30.03,-4.94,28.06,25.21,10.2,7.0,20.0,24.7,47.6,8.9,0.77,31.79,30.46,27.22,39.9,3.51,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
134,688785,恒运昌,破底翻,破底翻,263.0,-4.4,260.17,224.0,13.9,1.1,18.0,47.3,48.3,5.6,1.05,269.45,270.2,244.09,498.74,12.47,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
135,688818,电科蓝天,破底翻,破底翻,45.02,-2.28,45.18,41.35,8.5,-0.4,20.0,47.3,52.6,5.3,0.87,45.18,47.83,42.18,85.49,14.25,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
136,002368,太极股份,破底翻,破底翻,14.09,2.47,13.7,13.05,4.7,2.8,25.0,19.2,57.6,4.7,2.46,13.68,14.25,13.29,17.43,4.17,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
137,603218,日月股份,破底翻,破底翻,9.57,-2.25,9.82,9.34,4.9,-2.5,25.0,17.4,44.0,2.6,2.1,9.69,9.89,9.35,11.58,9.14,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
138,301487,盟固利,破底翻,破底翻,16.49,0.12,15.76,14.48,8.1,4.6,25.0,31.6,57.8,7.6,0.78,16.5,16.38,15.29,24.1,6.34,74.0,破底翻,1,74.0,4919,4583,False,,,,,,,,,
139,300119,瑞普生物,碗口反弹,,17.3,,,,,,,,40.1,,,,,16.55,20.26,3.95,73.5,碗口反弹,1,73.5,4919,4583,False,靠近多空线,12.1,17.99,17.36,3.63,8.24,12.0,14.6,1.5
140,600873,梅花生物,破底翻,破底翻,7.89,1.28,8.02,7.35,8.4,-1.6,5.0,16.4,40.4,2.3,1.27,7.85,7.9,7.67,9.44,7.05,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
141,688292,浩瀚深度,破底翻,破底翻,17.95,2.87,17.03,14.88,12.6,5.4,19.0,19.6,56.1,23.1,1.23,17.38,17.45,16.52,22.32,3.06,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
142,300134,大富科技,破底翻,破底翻,8.49,0.47,8.23,7.29,11.4,3.2,7.0,23.2,56.7,23.9,0.86,8.36,8.45,7.98,11.06,5.04,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
143,603703,盛洋科技,破底翻,破底翻,10.23,0.69,9.43,7.89,16.3,8.5,17.0,25.3,48.8,29.5,0.67,10.01,9.62,9.15,13.7,3.21,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
144,301238,瑞泰新材,破底翻,破底翻,16.4,-0.55,15.9,14.5,8.8,3.1,25.0,38.6,41.2,27.1,0.71,16.3,16.42,15.42,26.69,10.5,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
145,301428,世纪恒通,破底翻,破底翻,27.7,-0.72,26.97,25.39,5.9,2.7,21.0,31.7,51.1,16.9,1.82,27.82,28.96,26.16,40.57,8.36,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
146,603030,全筑股份,破底翻,破底翻,2.13,1.43,2.06,1.75,15.0,3.4,19.0,16.1,48.4,27.6,0.85,2.1,2.07,2.0,2.54,3.15,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
147,601689,拓普集团,破底翻,破底翻,47.09,-0.72,47.1,44.1,6.4,-0.0,21.0,33.1,45.8,18.7,1.8,46.84,48.67,45.21,70.37,12.38,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
148,603018,华设集团,破底翻,破底翻,5.34,1.14,5.14,4.98,3.1,3.9,25.0,24.3,51.2,5.0,1.07,5.3,5.31,4.99,7.05,4.89,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
149,688073,毕得医药,碗口反弹,,61.44,,,,,,,,30.9,,,,,56.17,88.88,5.21,73.0,碗口反弹,1,73.0,4919,4583,False,靠近多空线,-14.9,68.39,61.79,10.69,3.17,15.0,30.9,4.3
150,001369,双欣材料,破底翻,破底翻,12.45,-0.95,12.81,11.46,10.5,-2.8,4.0,24.5,50.2,8.7,1.65,12.45,12.73,12.09,16.5,11.25,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
151,603421,鼎信通讯,破底翻,破底翻,5.97,2.4,5.66,5.17,8.7,5.5,20.0,17.0,47.4,22.7,1.43,5.91,5.95,5.49,7.19,2.54,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
152,603135,中重科技,破底翻,破底翻,9.14,0.44,9.21,8.88,3.6,-0.8,4.0,43.5,55.8,19.4,3.3,9.07,9.27,8.73,16.18,17.17,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
153,300293,蓝英装备,破底翻,破底翻,15.44,-4.63,15.1,13.77,8.8,2.3,24.0,25.3,60.7,17.6,1.83,15.82,15.93,14.65,20.68,6.63,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
154,300374,中铁装配,破底翻,破底翻,11.01,2.13,10.91,9.72,10.9,0.9,7.0,18.1,57.8,6.6,1.29,10.84,10.92,10.58,13.44,5.65,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
155,300525,博思软件,破底翻,破底翻,8.16,-0.61,8.23,7.23,12.2,-0.9,4.0,18.6,63.6,4.5,1.63,8.14,8.63,7.83,10.03,5.67,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
156,600267,海正药业,碗口反弹,,12.2,,,,,,,,18.7,,,,,11.55,15.0,4.31,73.0,碗口反弹,1,73.0,4919,4583,False,靠近多空线,1.9,13.05,12.21,6.93,3.03,14.0,18.7,8.51
157,002405,四维图新,破底翻,破底翻,6.39,0.47,6.31,5.98,5.2,1.3,25.0,23.3,45.8,6.1,0.86,6.37,6.54,6.12,8.33,7.19,73.0,破底翻,1,73.0,4919,4583,False,,,,,,,,,
158,300797,钢研纳克,碗口反弹,,13.87,,,,,,,,36.7,,,,,13.23,16.13,3.53,72.7,碗口反弹,1,72.7,4919,4583,False,靠近多空线,2.4,13.65,13.5,1.12,5.39,9.0,14.0,1.03
159,603456,九洲药业,碗口反弹,,15.55,,,,,,,,30.1,,,,,14.7,18.51,3.48,72.6,碗口反弹,1,72.6,4919,4583,False,靠近多空线,-3.2,16.35,15.56,5.08,2.51,15.0,16.0,6.48
160,688469,芯联集成,碗口反弹,,8.58,,,,,,,,23.6,,,,,8.18,11.23,6.62,72.2,碗口反弹,1,72.2,4919,4583,False,回落碗中,8.7,8.75,8.46,3.49,2.32,13.0,10.4,12.87
161,002552,宝鼎科技,碗口反弹,,53.19,,,,,,,,32.7,,,,,48.01,78.98,4.98,72.2,碗口反弹,1,72.2,4919,4583,False,回落碗中,19.8,53.45,50.36,6.14,2.33,13.0,15.3,18.79
162,689009,九号公司,碗口反弹,,42.38,,,,,,,,45.0,,,,,40.62,47.34,2.82,72.1,碗口反弹,1,72.1,4919,4583,False,回落碗中,4.7,43.45,42.03,3.38,2.54,13.0,10.5,5.17
163,688301,奕瑞科技,破底翻,破底翻,94.61,-3.83,95.81,80.2,16.3,-1.3,14.0,48.3,66.4,13.2,1.03,96.78,95.07,88.99,183.0,15.73,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
164,300056,中创环保,破底翻,破底翻,8.49,1.31,8.08,6.42,20.5,5.1,22.0,17.4,59.6,18.4,0.93,8.45,8.56,7.84,10.28,2.75,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
165,001390,古麒绒材,破底翻,守住前低,16.98,-0.99,17.18,,,-1.2,32.0,17.8,56.5,1.0,1.78,17.18,17.65,16.57,20.65,8.95,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
166,000936,华西股份,破底翻,破底翻,5.71,-0.52,5.46,4.7,13.9,4.6,13.0,18.1,40.5,16.1,0.83,5.63,5.67,5.3,6.97,3.07,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
167,300052,中青宝,破底翻,破底翻,10.58,-1.67,10.02,8.97,10.5,5.6,21.0,26.5,62.5,17.7,1.33,10.62,11.04,9.72,14.39,4.43,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
168,688790,昂瑞微,破底翻,破底翻,112.82,-1.12,116.11,86.55,25.5,-2.8,2.0,19.1,53.8,17.5,4.15,102.24,98.97,106.67,139.43,4.33,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
169,688472,阿特斯,破底翻,破底翻,9.73,-2.6,9.59,9.02,5.9,1.5,25.0,18.4,59.9,20.0,1.77,10.07,10.31,9.3,11.92,5.09,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
170,688408,中信博,破底翻,破底翻,26.5,6.94,25.8,24.0,7.0,2.7,1.0,26.7,75.9,3.7,3.09,25.19,26.31,25.03,36.15,6.56,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
171,688755,汉邦科技,破底翻,破底翻,27.36,0.63,24.13,22.12,8.3,13.4,21.0,23.1,50.7,13.0,0.99,27.09,26.91,23.41,35.56,2.08,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
172,688577,浙海德曼,破底翻,破底翻,42.86,-2.32,42.19,36.98,12.3,1.6,18.0,38.8,69.4,26.9,1.72,42.49,42.28,40.63,70.0,12.17,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
173,603076,乐惠国际,破底翻,破底翻,20.61,-0.77,19.11,18.1,5.3,7.8,25.0,16.8,49.7,14.7,1.07,20.69,20.82,18.54,24.76,2.0,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
174,002362,汉王科技,破底翻,破底翻,15.87,0.32,14.8,14.01,5.3,7.2,25.0,25.0,53.3,13.4,1.2,15.82,15.94,14.36,21.16,3.5,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
175,300118,东方日升,破底翻,破底翻,9.84,0.92,9.5,8.95,5.8,3.6,25.0,32.8,62.1,14.8,0.98,9.79,10.11,9.22,14.65,7.76,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
176,300484,蓝海华腾,破底翻,破底翻,12.75,0.16,12.36,11.52,6.8,3.2,24.0,18.1,59.5,12.9,1.01,12.74,13.11,11.99,15.57,3.71,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
177,603033,三维股份,破底翻,守住前低,7.57,-0.92,7.53,,,0.5,29.0,31.1,56.1,1.8,1.5,7.48,7.69,7.22,10.99,9.77,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
178,688327,云从科技,破底翻,守住前低,10.3,-3.29,9.75,,,5.6,24.0,31.7,56.8,8.4,1.65,10.04,10.66,9.46,15.08,5.69,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
179,603382,海阳科技,破底翻,破底翻,19.71,0.36,18.31,15.91,13.1,7.6,22.0,17.4,71.8,15.1,0.55,19.2,19.73,17.76,23.87,2.13,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
180,300608,思特奇,破底翻,破底翻,9.94,-1.88,9.24,8.76,5.2,7.6,28.0,23.9,49.2,18.1,0.97,9.93,10.32,8.96,13.06,3.18,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
181,300556,丝路视觉,破底翻,破底翻,16.32,0.8,15.73,14.02,10.9,3.8,21.0,29.0,46.6,11.0,1.24,16.19,16.22,15.26,23.0,6.3,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
182,603786,科博达,破底翻,守住前低,38.63,-3.16,39.63,,,-2.5,44.0,20.8,64.6,0.0,2.43,39.43,41.7,37.4,48.75,8.23,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
183,600605,汇通能源,破底翻,破底翻,25.84,-2.71,23.62,21.81,7.7,9.4,18.0,23.3,40.5,17.4,0.95,25.91,24.66,22.91,33.69,2.68,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
184,300887,谱尼测试,破底翻,破底翻,7.18,0.0,6.73,6.39,5.1,6.7,25.0,17.3,57.2,16.5,0.54,7.17,7.38,6.53,8.68,2.31,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
185,603668,天马科技,破底翻,守住前低,10.51,2.14,10.05,,,4.6,28.0,20.3,46.5,1.9,1.7,10.17,10.43,9.75,13.18,3.51,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
186,603585,苏利股份,破底翻,守住前低,10.57,2.62,9.03,,,17.1,33.0,32.6,61.5,16.3,1.7,10.27,10.18,8.76,15.69,2.83,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
187,301082,久盛电气,破底翻,破底翻,9.88,0.92,9.36,7.9,15.6,5.6,20.0,19.7,63.7,18.5,1.02,9.64,10.38,9.08,12.3,3.02,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
188,300616,尚品宅配,破底翻,破底翻,10.63,1.63,10.32,9.02,12.6,3.0,20.0,33.1,44.9,12.4,0.88,10.62,10.58,10.01,15.89,8.48,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
189,301260,格力博,破底翻,破底翻,12.46,-8.04,12.56,11.97,4.7,-0.8,25.0,24.7,52.4,11.3,5.03,13.31,13.75,11.94,16.54,7.85,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
190,301220,亚香股份,破底翻,破底翻,27.59,-5.8,27.5,25.16,8.5,0.3,20.0,25.8,69.3,21.9,1.9,28.35,28.06,26.46,37.2,8.5,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
191,301155,海力风电,破底翻,守住前低,39.83,-2.38,37.88,,,5.1,33.0,29.5,61.4,9.7,1.89,40.7,44.58,36.74,56.5,5.39,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
192,301259,艾布鲁,破底翻,守住前低,21.08,-6.02,20.41,,,3.3,28.0,28.9,66.0,7.6,1.64,22.17,23.43,19.8,29.66,6.7,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
193,301587,中瑞股份,破底翻,破底翻,21.6,-1.05,20.52,17.98,12.4,5.3,21.0,16.0,49.4,15.6,0.85,21.6,21.4,19.9,25.72,2.42,72.0,破底翻,1,72.0,4919,4583,False,,,,,,,,,
194,000026,飞亚达,碗口反弹,,20.07,,,,,,,,27.8,,,,,18.86,23.61,2.93,71.9,碗口反弹,1,71.9,4919,4583,False,回落碗中,9.8,20.12,19.48,3.3,2.25,21.0,15.0,2.91
195,603882,金域医学,破底翻,破底翻,27.42,-1.93,23.56,22.16,5.9,16.4,38.0,15.2,59.0,20.8,0.54,28.52,29.2,22.85,32.32,1.07,71.7,破底翻/碗口反弹,2,77.6,4919,4583,True,靠近多空线,-13.0,29.17,27.76,5.05,2.71,5.0,15.2,3.87
196,688246,嘉和美康,破底翻,破底翻,17.37,0.87,17.26,15.55,9.9,0.6,21.0,32.9,60.5,6.3,1.27,17.27,18.37,16.46,25.88,9.35,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
197,688177,百奥泰,破底翻,破底翻,18.63,-0.59,17.37,16.58,4.5,7.3,25.0,18.0,55.1,8.4,0.88,19.38,19.69,16.85,22.72,2.3,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
198,300411,金盾股份,破底翻,破底翻,7.98,-0.62,6.63,6.39,3.6,20.4,27.0,28.3,61.0,11.0,0.91,7.86,7.61,6.43,11.13,2.03,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
199,300349,金卡智能,破底翻,破底翻,10.28,0.19,9.88,9.43,4.6,4.0,25.0,20.9,51.7,5.0,0.73,10.19,10.44,9.58,13.0,3.89,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
200,688070,纵横股份,破底翻,破底翻,34.73,2.09,32.82,30.05,8.4,5.8,21.0,18.1,49.3,25.6,1.15,34.05,34.26,31.84,42.4,2.65,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
201,300320,海达股份,破底翻,破底翻,8.45,0.12,8.08,7.66,5.2,4.6,27.0,15.1,46.2,25.3,0.86,8.45,8.45,7.84,9.95,2.46,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
202,300809,华辰装备,破底翻,破底翻,23.36,-2.14,23.42,21.28,9.1,-0.3,20.0,40.9,59.4,22.9,0.98,23.57,24.41,22.14,39.5,13.23,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
203,603836,海程邦达,破底翻,守住前低,9.21,0.99,7.84,,,17.5,49.0,27.8,44.5,7.6,1.11,9.17,8.95,7.6,12.76,2.2,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
204,300284,苏交科,破底翻,破底翻,5.27,0.76,5.27,5.0,5.1,0.0,33.0,15.4,68.2,8.9,1.17,5.25,5.41,5.11,6.23,6.0,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
205,300287,飞利信,破底翻,破底翻,3.59,-0.83,3.39,3.11,8.3,5.9,43.0,19.0,59.8,28.9,1.24,3.56,3.73,3.29,4.43,2.8,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
206,600438,通威股份,破底翻,破底翻,11.96,0.5,12.03,10.48,12.9,-0.6,22.0,16.5,62.7,3.5,0.92,12.0,12.57,11.52,14.33,5.39,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
207,300724,捷佳伟创,破底翻,破底翻,58.21,3.61,56.61,53.81,4.9,2.8,29.0,24.7,61.8,28.4,2.21,56.78,58.9,54.91,77.28,5.78,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
208,603815,交建股份,破底翻,破底翻,5.52,0.91,5.4,4.93,8.7,2.2,5.0,21.7,63.0,12.1,0.71,5.47,5.42,5.24,7.05,5.46,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
209,688486,龙迅股份,破底翻,守住前低,41.63,-3.28,37.63,,,10.6,29.0,45.8,68.9,1.1,0.99,42.41,44.37,36.5,76.85,6.87,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
210,300226,上海钢联,破底翻,破底翻,16.78,0.42,16.4,14.57,11.2,2.3,5.0,21.6,49.9,14.4,1.22,16.64,16.52,15.91,21.41,5.32,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
211,600452,涪陵电力,破底翻,守住前低,9.15,-0.54,9.03,,,1.3,43.0,22.7,45.5,6.9,1.19,9.14,9.4,8.76,11.84,6.9,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
212,300788,中信出版,破底翻,破底翻,23.5,0.09,23.82,22.47,5.7,-1.3,25.0,18.2,50.8,3.9,0.69,23.52,25.22,22.36,28.74,4.6,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
213,300203,聚光科技,破底翻,破底翻,13.1,-1.95,12.64,11.61,8.1,3.6,19.0,15.2,51.1,28.1,0.77,13.25,12.88,12.26,15.45,2.8,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
214,300286,安科瑞,破底翻,破底翻,19.74,-0.2,19.8,18.34,7.4,-0.3,29.0,41.7,46.5,21.6,0.68,19.68,20.44,19.0,33.85,19.07,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
215,002403,爱仕达,破底翻,破底翻,9.24,0.76,8.96,7.85,12.4,3.1,21.0,21.6,62.2,30.0,0.95,9.29,9.5,8.69,11.78,4.62,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
216,600418,江淮汽车,破底翻,破底翻,21.04,-0.33,20.32,19.64,3.3,3.5,25.0,40.1,64.2,23.9,0.53,20.91,22.91,19.71,35.12,10.59,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
217,300448,浩云科技,破底翻,破底翻,5.63,-1.05,5.26,4.81,8.6,7.0,23.0,25.4,50.9,29.4,0.9,5.61,5.72,5.1,7.55,3.62,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
218,300576,容大感光,破底翻,守住前低,29.86,-2.26,24.23,,,23.2,28.0,46.5,55.4,3.4,0.82,29.73,30.53,23.5,55.83,4.08,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
219,603613,国联股份,破底翻,破底翻,18.47,-0.43,18.08,17.05,5.7,2.2,25.0,21.3,44.8,6.0,0.75,18.31,18.92,17.54,23.48,5.39,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
220,603220,中贝通信,破底翻,破底翻,18.53,-2.01,18.68,17.18,8.0,-0.8,6.0,28.5,52.7,6.1,1.0,18.54,19.18,17.54,25.9,7.44,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
221,300928,华安鑫创,破底翻,破底翻,24.76,-2.48,25.48,22.51,11.7,-2.8,20.0,25.1,44.4,1.6,1.43,25.33,25.34,23.92,33.04,9.86,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
222,300913,兆龙互连,破底翻,破底翻,36.13,-1.58,35.5,30.99,12.7,1.8,7.0,45.6,50.8,28.9,1.03,35.82,35.68,34.37,66.44,17.22,71.0,破底翻,1,71.0,4919,4583,False,,,,,,,,,
