代码,名称,最新价,今日涨幅%,支撑价,破底最低,破底深度%,收回幅度%,距60日高跌幅%,距年高跌幅%,历史分位%,量比vs5日均,MA5,MA20,confidence
sz300364,中文在线,25.06,7.09,25.02,21.7,13.3,0.2,24.9,42.8,14.4,2.04,23.56,24.45,72
sz300501,海顺新材,13.27,2.47,13.1,12.02,8.2,1.3,40.8,40.8,4.4,1.38,13.09,13.4,71
sh688168,安博通,65.88,3.6,56.61,48.88,13.7,16.4,29.6,41.7,12.0,1.09,62.68,60.78,69
sz300293,蓝英装备,17.8,0.56,17.5,16.95,3.1,1.7,16.8,41.0,9.2,1.61,17.73,18.04,69
sh688591,泰凌微,35.21,5.04,33.18,28.8,13.2,6.1,17.7,46.0,12.4,1.29,32.97,33.21,69
sh688500,慧辰股份,52.06,4.18,47.63,43.2,9.3,9.3,19.5,42.5,27.6,0.86,51.12,53.35,68
sh688790,昂瑞微,133.51,3.46,128.02,115.27,10.0,4.3,19.6,45.3,21.5,1.27,127.1,130.22,68
sz300153,科泰电源,25.55,1.03,23.69,22.57,4.7,7.9,27.0,49.9,4.4,0.82,25.0,26.14,68
sz002664,信质集团,19.61,1.19,18.9,17.14,9.3,3.8,19.2,45.0,20.4,0.88,19.17,19.46,68
sh688631,莱斯信息,49.96,1.24,49.61,45.63,8.0,0.7,17.1,51.6,5.2,0.73,49.77,49.53,68
sz001298,好上好,20.97,1.8,20.83,19.48,6.5,0.7,31.5,50.8,3.6,1.04,20.46,21.36,68
sz300493,润欣科技,14.6,1.81,14.6,13.2,9.6,0.0,21.6,44.9,3.2,1.07,14.1,15.3,68
sz300609,汇纳科技,33.74,6.64,32.21,30.88,4.1,4.8,23.3,46.7,11.6,1.94,32.49,35.18,68
sh688615,合合信息,122.83,2.44,121.33,112.5,7.3,1.2,37.6,66.7,2.8,1.04,119.76,127.07,66
sz300474,景嘉微,55.52,2.85,54.99,50.7,7.8,1.0,21.1,40.9,3.6,1.4,53.48,57.2,66
sz301208,中亦科技,29.82,2.9,28.77,27.69,3.8,3.6,16.4,46.3,4.0,1.44,29.17,30.08,66
sz002681,奋达科技,4.97,2.05,4.94,4.49,9.1,0.6,16.6,42.1,2.0,1.13,4.89,5.27,66
sh688159,有方科技,49.0,2.08,42.8,41.03,4.1,14.5,33.4,42.3,27.6,1.06,46.71,47.33,65
sz002241,歌尔股份,23.92,1.01,23.82,22.25,6.6,0.4,18.0,41.2,26.8,1.14,23.5,25.08,65
sh605288,凯迪股份,80.0,1.28,78.9,63.51,19.5,1.4,30.4,45.9,26.8,1.31,73.29,89.17,63
sz300723,一品红,33.42,1.95,33.4,32.14,3.8,0.1,27.0,59.0,12.0,1.03,33.95,37.62,61
sh688759,必贝特,30.5,1.77,30.18,28.91,4.2,1.1,28.9,46.9,19.9,1.49,30.21,32.62,61
