代码,名称,最新价,今日涨幅%,支撑价,破底最低,破底深度%,收回幅度%,距60日高跌幅%,距年高跌幅%,历史分位%,量比vs5日均,MA5,MA20,confidence
sz000948,南天信息,12.72,10.04,12.27,11.46,6.6,3.7,19.1,42.8,6.4,2.59,12.02,12.34,75
sh688489,三未信安,23.85,9.15,22.31,21.36,4.3,6.9,47.4,59.9,6.8,1.57,22.64,23.08,75
sz300287,飞利信,3.85,13.9,3.44,3.03,11.9,11.9,25.2,45.8,8.0,1.95,3.6,3.51,75
sh600749,西藏旅游,15.33,9.97,14.3,12.75,10.8,7.2,30.3,52.7,18.0,1.98,14.43,14.72,73
sz300047,天源迪科,9.46,5.82,9.37,8.66,7.6,1.0,28.2,55.5,4.0,1.81,9.15,9.48,72
sz300188,国投智能,10.19,7.6,10.09,9.12,9.6,1.0,23.8,48.9,4.4,1.9,9.81,9.97,72
sz002104,恒宝股份,10.43,6.54,10.0,9.68,3.2,4.3,38.4,67.3,2.8,3.19,10.21,10.81,72
sz300251,光线传媒,12.4,5.35,10.95,10.6,3.2,13.2,28.0,58.5,9.6,1.85,11.79,11.43,72
sz300454,深信服,106.56,20.0,103.89,88.25,15.1,2.6,20.9,43.3,29.2,3.02,94.25,96.74,71
sh600756,浪潮软件,13.23,9.97,12.8,11.76,8.1,3.4,28.1,49.5,4.8,1.0,12.55,12.91,71
sz002148,北纬科技,6.6,4.93,6.06,5.62,7.3,8.9,21.0,54.1,8.8,1.44,6.48,6.24,71
sh603171,税友股份,39.78,6.48,38.35,36.92,3.7,3.7,38.3,56.1,4.8,1.98,39.02,41.96,70
sh605128,上海沿浦,23.85,4.93,23.15,21.94,5.2,3.0,35.3,49.2,4.0,1.42,23.56,24.47,69
sz300485,赛升药业,9.84,6.15,8.45,7.77,8.0,16.4,20.3,43.7,12.8,1.36,9.75,9.04,69
sh600028,中国石化,4.83,0.62,4.73,4.43,6.3,2.1,17.6,40.4,7.6,0.93,4.75,4.73,68
sh688316,青云科技,50.78,5.4,49.88,47.55,4.7,1.8,37.9,48.4,0.4,1.51,51.32,55.8,67
sz000839,国安股份,2.54,5.83,2.48,2.36,4.8,2.4,31.5,40.4,1.2,1.51,2.52,2.65,67
sz000524,岭南控股,9.85,10.06,9.03,8.5,5.9,9.1,19.7,44.6,12.0,0.43,9.12,9.17,67
sh688111,金山办公,217.88,5.79,206.38,200.0,3.1,5.6,22.8,47.5,6.4,1.37,211.93,214.13,66
sz002019,亿帆医药,9.89,0.51,9.73,9.07,6.8,1.6,25.0,40.6,4.8,0.72,9.97,9.85,66
sz002423,中粮资本,8.76,0.69,8.55,8.15,4.7,2.5,17.1,42.7,2.8,0.55,8.88,8.84,63
