代码,名称,最新价,今日涨幅%,支撑价,破底最低,破底深度%,收回幅度%,距60日高跌幅%,距年高跌幅%,历史分位%,量比vs5日均,MA5,MA20,confidence
sz300384,三联虹普,12.1,3.42,11.65,10.96,5.9,3.9,25.5,40.0,4.8,1.62,11.99,11.98,75
sz300287,飞利信,3.85,13.9,3.44,3.03,11.9,11.9,25.2,45.8,8.0,1.95,3.6,3.51,75
sz000948,南天信息,12.72,10.04,12.27,11.46,6.6,3.7,19.1,42.8,6.4,2.59,12.02,12.34,75
sh688489,三未信安,23.85,9.15,22.31,21.36,4.3,6.9,47.4,59.9,6.8,1.57,22.64,23.08,75
sh600749,西藏旅游,15.33,9.97,14.3,12.75,10.8,7.2,30.3,52.7,18.0,1.98,14.43,14.72,73
sz002104,恒宝股份,10.43,6.54,10.0,9.68,3.2,4.3,38.4,67.3,2.8,3.19,10.21,10.81,72
sz300251,光线传媒,12.4,5.35,10.95,10.6,3.2,13.2,28.0,58.5,9.6,1.85,11.79,11.43,72
sz300047,天源迪科,9.46,5.82,9.37,8.66,7.6,1.0,28.2,55.5,4.0,1.81,9.15,9.48,72
sz300188,国投智能,10.19,7.6,10.09,9.12,9.6,1.0,23.8,48.9,4.4,1.9,9.81,9.97,72
sh688050,爱博医疗,40.27,3.84,37.88,35.23,7.0,6.3,24.3,51.8,8.4,1.1,39.59,38.77,71
sz002139,拓邦股份,9.95,1.95,9.41,8.86,5.8,5.7,20.3,41.1,7.2,0.67,9.91,9.69,71
sh600756,浪潮软件,13.23,9.97,12.8,11.76,8.1,3.4,28.1,49.5,4.8,1.0,12.55,12.91,71
sz002148,北纬科技,6.6,4.93,6.06,5.62,7.3,8.9,21.0,54.1,8.8,1.44,6.48,6.24,71
sz300454,深信服,106.56,20.0,103.89,88.25,15.1,2.6,20.9,43.3,29.2,3.02,94.25,96.74,71
sh603171,税友股份,39.78,6.48,38.35,36.92,3.7,3.7,38.3,56.1,4.8,1.98,39.02,41.96,70
sz300485,赛升药业,9.84,6.15,8.45,7.77,8.0,16.4,20.3,43.7,12.8,1.36,9.75,9.04,69
sh688236,春立医疗,15.15,1.54,14.4,13.4,6.9,5.2,29.3,48.3,6.4,0.77,15.28,14.85,69
sh605128,上海沿浦,23.85,4.93,23.15,21.94,5.2,3.0,35.3,49.2,4.0,1.42,23.56,24.47,69
sh688591,泰凌微,34.77,2.57,32.92,28.54,13.3,5.6,18.2,46.5,13.6,1.01,34.34,33.12,69
sz300813,泰林生物,21.04,2.73,19.21,17.75,7.6,9.5,29.3,50.0,11.2,1.37,20.68,19.8,69
sh603529,爱玛科技,20.03,1.42,19.81,18.49,6.7,1.1,31.5,46.1,4.4,0.87,19.97,20.05,68
sh601069,西部黄金,25.12,2.2,23.85,21.45,10.1,5.3,29.8,50.1,24.4,1.14,24.9,24.75,68
sh603883,老百姓,11.51,1.14,11.25,10.4,7.6,2.3,19.6,45.4,5.6,0.68,11.46,11.38,68
sh688232,新点软件,18.29,3.39,18.12,16.88,6.8,0.9,22.4,48.8,3.2,1.46,18.03,18.32,68
sz300541,先进数通,9.94,4.08,9.84,9.22,6.3,1.0,33.2,46.0,3.6,1.16,9.79,9.99,68
sz002920,德赛西威,86.15,3.91,85.05,76.93,9.5,1.3,25.1,43.7,4.4,1.33,84.24,84.71,68
sz300846,首都在线,19.75,4.66,19.75,18.65,5.6,0.0,43.5,49.4,10.8,1.45,20.02,21.62,67
sz000524,岭南控股,9.85,10.06,9.03,8.5,5.9,9.1,19.7,44.6,12.0,0.43,9.12,9.17,67
sz000839,国安股份,2.54,5.83,2.48,2.36,4.8,2.4,31.5,40.4,1.2,1.51,2.52,2.65,67
sh688316,青云科技,50.78,5.4,49.88,47.55,4.7,1.8,37.9,48.4,0.4,1.51,51.32,55.8,67
sz002715,登云股份,15.29,3.8,14.95,12.62,15.6,2.3,19.4,49.6,14.4,0.93,14.63,14.13,66
sh600422,昆药集团,8.29,0.97,8.13,7.45,8.4,2.0,27.5,45.0,4.8,0.68,8.3,8.21,66
sh688111,金山办公,217.88,5.79,206.38,200.0,3.1,5.6,22.8,47.5,6.4,1.37,211.93,214.13,66
sz002019,亿帆医药,9.89,0.51,9.73,9.07,6.8,1.6,24.4,40.3,4.8,0.72,9.97,9.85,66
sz300832,新产业,41.28,4.64,40.5,37.5,7.4,1.9,17.8,41.3,0.8,0.89,42.04,42.6,66
sh600839,四川长虹,6.7,2.6,6.67,6.22,6.7,0.4,32.2,47.7,2.0,1.05,6.75,6.79,66
sz300324,旋极信息,3.78,3.28,3.76,3.57,5.1,0.5,28.4,54.7,2.0,0.85,3.77,3.88,66
sz002123,梦网科技,8.47,4.05,7.31,7.05,3.6,15.9,20.5,51.2,10.4,1.15,8.15,7.72,66
sh688292,浩瀚深度,18.06,4.63,17.6,17.03,3.2,2.6,36.0,55.7,1.2,1.37,18.18,19.28,63
sz003015,日久光电,11.7,2.9,11.65,11.2,3.9,0.4,30.2,43.6,0.4,1.14,11.87,12.41,63
sz002423,中粮资本,8.76,0.69,8.55,8.15,4.7,2.5,17.1,42.7,2.8,0.55,8.88,8.84,63
sh688083,中望软件,55.45,1.37,54.96,52.9,3.7,0.9,23.0,45.0,12.0,0.66,58.89,61.91,61
sh688108,赛诺医疗,18.25,2.01,18.13,17.41,4.0,0.7,20.2,61.2,19.2,0.96,18.75,19.28,61
